# rad, volume, fluid, trappedW, trappedNW
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.016560999999999973e-04,6.375550999999999599e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.008950999999999956e-04,1.304477999999999927e-11,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.606853999999999958e-05,1.238375000000000002e-11,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.582067999999999413e-05,1.486521000000000023e-11,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.521638000000000400e-05,8.043929000000000267e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.391880999999999331e-05,9.000911000000000440e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000770000000000222e-05,1.220600999999999960e-11,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.750523999999999976e-05,1.103151999999999983e-11,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.624729999999999669e-05,1.070947000000000041e-11,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.556321999999999561e-05,4.226596999999999666e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.571409000000000590e-05,6.368397999999999861e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.307141999999999348e-05,1.137222999999999990e-11,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.286467000000000431e-05,6.488535999999999849e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.094529999999999900e-05,5.872241999999999971e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.979445999999999360e-05,1.666318999999999940e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.964610999999999696e-05,4.820917000000000308e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.971494000000000084e-05,8.003721000000000728e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.919486999999999415e-05,6.499075999999999923e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.848907000000000507e-05,5.392097999999999669e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.844902999999999588e-05,6.313748999999999656e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.712987999999999344e-05,2.877041000000000201e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.660051000000000024e-05,7.083397999999999945e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.684397999999999674e-05,6.491110000000000197e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.623793999999999330e-05,7.250273999999999849e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.548970000000000333e-05,7.955953000000000764e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.320198999999999402e-05,5.072382000000000186e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.353479000000000547e-05,4.963434999999999641e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.336404000000000037e-05,4.997437999999999814e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.228343000000000192e-05,6.988811000000000158e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.078021999999999840e-05,4.259272999999999596e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.992598000000000639e-05,3.008748000000000136e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.907333000000000364e-05,6.515006999999999605e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.978677999999999932e-05,1.379603000000000013e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.978024000000000260e-05,5.548732000000000272e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.938199999999999402e-05,3.594451999999999839e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.797399999999999666e-05,5.637656999999999916e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.769678999999999801e-05,3.567385000000000152e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.735283000000000546e-05,1.770740999999999957e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.723537000000000133e-05,3.141051000000000002e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.778811000000000309e-05,4.850205999999999902e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.729051999999999690e-05,5.569568000000000124e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.667975000000000139e-05,4.446442000000000129e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.613059000000000613e-05,2.679277999999999926e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.664260000000000463e-05,2.626036999999999870e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.641695999999999505e-05,2.588700000000000067e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.597529999999999833e-05,4.511442000000000357e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.585839000000000558e-05,3.698738999999999877e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.572062000000000368e-05,5.777193999999999829e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.504922999999999587e-05,4.511360999999999643e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.525025000000000432e-05,3.400401000000000103e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.671991000000000542e-05,6.042043999999999856e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.482267000000000324e-05,2.284103000000000047e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.365817000000000448e-05,4.880876999999999984e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.414407000000000604e-05,3.051475999999999952e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.300133999999999877e-05,4.728550999999999851e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.455016999999999526e-05,3.883389000000000307e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.373137000000000235e-05,2.204174000000000176e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.252149000000000031e-05,1.778896999999999907e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.237800000000000484e-05,4.741069000000000344e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.249003999999999572e-05,1.609500999999999929e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.263454999999999479e-05,1.900010000000000100e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.156506000000000174e-05,2.698813000000000003e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.169764000000000650e-05,4.016612999999999901e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.177753999999999873e-05,3.466837000000000084e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.208235000000000370e-05,4.781115000000000070e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.145855000000000469e-05,3.046950999999999827e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.030764000000000117e-05,5.028434999999999869e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.155742999999999653e-05,5.356333999999999944e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.062817000000000130e-05,3.346510000000000045e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.055835999999999663e-05,2.984552999999999955e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.118837999999999708e-05,3.407933000000000116e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.044019999999999775e-05,2.891617999999999806e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.985678999999999853e-05,4.885863000000000060e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.090535999999999856e-05,3.156793000000000037e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.006039999999999843e-05,3.112168000000000114e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.012538999999999796e-05,1.616790000000000020e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.022128999999999818e-05,1.300811999999999930e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.945030000000000236e-05,1.641202000000000058e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.928572000000000198e-05,2.716992999999999831e-12,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
